"cell_type_sub","cell_type_broad","germ_layer","tissue","major_group"
"adrenal gland","adrenal gland","mesoderm/ectoderm","Endocrine","periderm-other"
"anterior migratory muscle","anterior migratory muscle","mesoderm","Muscle","mesoderm"
"basal cell (early)","basal cell","ectoderm","Connective Tissue","mesenchyme-fin"
"basal cell (fn1b, cyp26a1+; posterior?)","basal cell","ectoderm","Epidermis","mesenchyme-fin"
"basal cell (late)","basal cell","ectoderm","Epidermis","mesenchyme-fin"
"cardiomyocyte","cardiomyocyte","mesoderm","Heart","mesoderm"
"chondrocranium","chondrocranium","mesoderm","Pharyngeal Arch","mesoderm"
"connective tissue-meninges-dermal FB (early)","connective tissue-meninges-dermal FB","mesoderm/ectoderm","Connective Tissue","mesenchyme-fin"
"connective tissue-meninges-dermal FB (late)","connective tissue-meninges-dermal FB","mesoderm/ectoderm","Connective Tissue","mesenchyme-fin"
"contains head vasculature?","contains head vasculature?","mesoderm/ectoderm","Connective Tissue","mesenchyme-fin"
"cranial ganglion progenitor","neuron (cranial ganglia sensory, Rohon-Beard)","ectoderm/neural crest","Peripheral Nervous System","CNS"
"cranial ganglion progenitor","neuron (cranial ganglion)","ectoderm/neural crest","Peripheral Nervous System","CNS"
"cranial muscle (early)","cranial muscle (early)","mesoderm","Pharyngeal Arch","mesoderm"
"cranial muscle (late)","cranial muscle (late)","mesoderm","Muscle","mesoderm"
"cranial muscle (mid)","cranial muscle (mid)","mesoderm","Pharyngeal Arch","mesoderm"
"cranial muscle (non-somitic, fast-twitch)","cranial muscle (non-somitic, fast-twitch)","mesoderm","Muscle","mesenchyme-fin"
"cranial muscle (progenitor)","cranial muscle (progenitor)","mesoderm","Pharyngeal Arch","mesoderm"
"cranial neural crest (ntm, foxd3+)","cranial neural crest","neural crest","Cranial NC","periderm-other"
"differentiating neuron (hindbrain)","differentiating neuron (hindbrain)","ectoderm","Central Nervous System","CNS"
"differentiating neuron 1","differentiating neuron 1","ectoderm","Central Nervous System","CNS"
"differentiating neuron 2","differentiating neuron 2","ectoderm","Central Nervous System","CNS"
"dorsal spinal cord neuron","dorsal spinal cord neuron","ectoderm","Central Nervous System","CNS"
"endothelium (dorsal aorta)","endothelium (dorsal aorta)","mesoderm","Endothelial","mesoderm"
"endothelium (f8+, clic2+)","endothelium (f8+, clic2+)","mesoderm","Endothelial","mesoderm"
"endothelium (vein + early artery)","endothelium (vein + early artery)","mesoderm","Endothelial","mesoderm"
"enveloping layer (EVL)","enveloping layer (EVL)","ectoderm","Epidermis","periderm-other"
