mutant,cell.type,n.degs,tissue
cdx4,basal cell,161,Connective Tissue
cdx4,basal cell,161,Epidermis
cdx4,chondrocranium,121,Pharyngeal Arch
cdx4,periderm,97,Epidermis
cdx4,jaw chondrocyte,85,Pharyngeal Arch
cdx4,"neurons (differentiating, contains peripheral)",77,Central Nervous System
cdx4,mature fast muscle,63,Muscle
cdx4,fin mesenchyme,57,Fin
cdx4,fast-committed myocyte,39,Muscle
cdx4,connective tissue-meninges-dermal FB,38,Connective Tissue
cdx4,fin fold,31,Fin
cdx4,"unknown (dcn+, col6+)",31,Muscle
cdx4,differentiating neuron (hindbrain),29,Central Nervous System
cdx4,notochord,27,Notochord
cdx4,"head mesenchyme (maybe ventral, hand2+)",23,Pharyngeal Arch
cdx4,pharyngeal arch (early),22,Pharyngeal Arch
cdx4,head mesenchyme,19,Pharyngeal Arch
cdx4,mature slow muscle,19,Muscle
cdx4,neural progenitor (hindbrain R7-8),19,Central Nervous System
cdx4,"neurons (gabaergic, glutamatergic)",19,Central Nervous System
cdx4,head-eye connective tissue,18,Connective Tissue
cdx4,neural progenitor (hindbrain),17,Central Nervous System
cdx4,pharyngeal arch (NC-derived),17,Pharyngeal Arch
cdx4,differentiating neuron 1,16,Central Nervous System
cdx4,endothelium (dorsal aorta),15,Endothelial
cdx4,floor plate,12,Central Nervous System
cdx4,"pharyngeal arch (contains muscle, early cartilage)",12,Pharyngeal Arch
cdx4,anterior migratory muscle,11,Muscle
cdx4,fin bud mesoderm (pectoral),11,Fin
cdx4,mesodermal progenitor cells (contains PSM),11,Paraxial Mesoderm
cdx4,pronephros distal tubule,11,Kidney
cdx4,cranial muscle (early),10,Pharyngeal Arch
cdx4,intestine,10,Intestine
cdx4,neuron (+ spinal cord),10,Central Nervous System
cdx4,differentiating neuron 2,9,Central Nervous System
cdx4,neural crest + pigment cell progenitor,9,Pigment
cdx4,retinal neuron,8,Eye
cdx4,cranial muscle (progenitor),7,Pharyngeal Arch
cdx4,glia,7,Central Nervous System
cdx4,glia,7,CNS/Neural crest
cdx4,neuromast support cell,7,Lateral Line
cdx4,"eye, optic cup",6,Eye
cdx4,neural tube-like connective tissue (+ taste bud),6,Connective Tissue
cdx4,"neuron (cranial ganglia sensory, Rohon-Beard)",6,Peripheral Nervous System
cdx4,pectoral fin bud (osteoblast+),6,Fin
cdx4,"cranial muscle (non-somitic, fast-twitch)",5,Muscle
cdx4,ionocyte-goblet cell,5,Epidermis
cdx4,melanophore,5,Epidermis
cdx4,retinal pigmented epithelium (early),5,Eye
cdx4,hatching gland,4,Hatching Gland
cdx4,hypochord,4,Hypochord
cdx4,myoblast,4,Muscle
cdx4,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
cdx4,posterior spinal cord progenitors,4,Central Nervous System
cdx4,pronephric duct,4,Kidney
cdx4,thyroid follicle cell,4,Endocrine
cdx4,KA neuron,3,Central Nervous System
cdx4,"neuron (telencephalon, glutamatergic)",3,Central Nervous System
cdx4,pronephros proximal tubule,3,Kidney
cdx4,xanthophore,3,Epidermis
cdx4,contains head vasculature?,2,Connective Tissue
cdx4,endothelium (vein + early artery),2,Endothelial
cdx4,"roof plate, flexural + subcommissural organ",2,Central Nervous System
cdx4,satellite cells,2,Muscle
cdx4,slow-committed myocyte,2,Muscle
cdx4,cranial muscle (mid),1,Pharyngeal Arch
cdx4,"endothelium (f8+, clic2+)",1,Endothelial
cdx4,hair cell,1,Lateral Line
cdx4,iridophore,1,Pigment
cdx4,lens,1,Eye
cdx4,liver,1,Liver
cdx4,motor neuron,1,Central Nervous System
cdx4,myeloid cell,1,Blood
cdx4,"neurons (gabaergic, glutamatergic; contains Purkinje)",1,Central Nervous System
cdx4,olfactory vesicle-bulb,1,Olfactory
cdx4,pancreas,1,Pancreas
cdx4,primordial germ cell,1,Germ Line
cdx4,pronephric podocyte,1,Kidney
cdx4,red blood cell,1,Blood
cdx4-cdx1a,enveloping layer (EVL),323,Epidermis
cdx4-cdx1a,jaw chondrocyte,296,Pharyngeal Arch
cdx4-cdx1a,periderm,271,Epidermis
cdx4-cdx1a,basal cell,134,Connective Tissue
cdx4-cdx1a,basal cell,134,Epidermis
cdx4-cdx1a,fast-committed myocyte,120,Muscle
cdx4-cdx1a,mature fast muscle,84,Muscle
cdx4-cdx1a,notochord,78,Notochord
cdx4-cdx1a,connective tissue-meninges-dermal FB,67,Connective Tissue
cdx4-cdx1a,"neurons (differentiating, contains peripheral)",56,Central Nervous System
cdx4-cdx1a,fin mesenchyme,49,Fin
cdx4-cdx1a,floor plate,38,Central Nervous System
cdx4-cdx1a,head mesenchyme,38,Pharyngeal Arch
cdx4-cdx1a,anterior migratory muscle,35,Muscle
cdx4-cdx1a,"head mesenchyme (maybe ventral, hand2+)",35,Pharyngeal Arch
cdx4-cdx1a,endothelium (dorsal aorta),34,Endothelial
cdx4-cdx1a,neural progenitor (hindbrain),33,Central Nervous System
cdx4-cdx1a,mature slow muscle,32,Muscle
cdx4-cdx1a,head-eye connective tissue,31,Connective Tissue
cdx4-cdx1a,pharyngeal arch (early),29,Pharyngeal Arch
cdx4-cdx1a,neural progenitor (hindbrain R7-8),28,Central Nervous System
cdx4-cdx1a,pharyngeal arch (NC-derived),26,Pharyngeal Arch
cdx4-cdx1a,cranial muscle (progenitor),22,Pharyngeal Arch
cdx4-cdx1a,pronephros proximal tubule,20,Kidney
cdx4-cdx1a,fin fold,19,Fin
cdx4-cdx1a,myoblast,18,Muscle
cdx4-cdx1a,"neurons (gabaergic, glutamatergic)",18,Central Nervous System
cdx4-cdx1a,cranial muscle (early),15,Pharyngeal Arch
cdx4-cdx1a,differentiating neuron (hindbrain),14,Central Nervous System
cdx4-cdx1a,melanophore,13,Epidermis
cdx4-cdx1a,pronephric duct,11,Kidney
cdx4-cdx1a,retinal pigmented epithelium (early),11,Eye
cdx4-cdx1a,neural crest + pigment cell progenitor,10,Pigment
cdx4-cdx1a,"neurons (gabaergic, glutamatergic; contains Purkinje)",9,Central Nervous System
cdx4-cdx1a,"cranial muscle (non-somitic, fast-twitch)",8,Muscle
cdx4-cdx1a,"neuron (cranial ganglia sensory, Rohon-Beard)",8,Peripheral Nervous System
cdx4-cdx1a,"pharyngeal arch (contains muscle, early cartilage)",8,Pharyngeal Arch
cdx4-cdx1a,cranial muscle (late),7,Muscle
cdx4-cdx1a,differentiating neuron 1,7,Central Nervous System
cdx4-cdx1a,intestine,7,Intestine
cdx4-cdx1a,ionocyte-goblet cell,7,Epidermis
cdx4-cdx1a,neural progenitor (telencephalon-diencephalon),7,Central Nervous System
cdx4-cdx1a,neuromast support cell,7,Lateral Line
cdx4-cdx1a,mesodermal progenitor cells (contains PSM),6,Paraxial Mesoderm
cdx4-cdx1a,pectoral fin bud (osteoblast+),6,Fin
cdx4-cdx1a,cardiomyocyte,5,Heart
cdx4-cdx1a,posterior spinal cord progenitors,5,Central Nervous System
cdx4-cdx1a,pronephros distal tubule,5,Kidney
cdx4-cdx1a,cranial neural crest,4,Cranial NC
cdx4-cdx1a,"endothelium (f8+, clic2+)",4,Endothelial
cdx4-cdx1a,fin bud mesoderm (pectoral),4,Fin
cdx4-cdx1a,lens,4,Eye
cdx4-cdx1a,myeloid cell,4,Blood
cdx4-cdx1a,neural progenitor (MHB),4,Central Nervous System
cdx4-cdx1a,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
cdx4-cdx1a,thyroid follicle cell,4,Endocrine
cdx4-cdx1a,xanthophore,4,Epidermis
cdx4-cdx1a,endothelium (vein + early artery),3,Endothelial
cdx4-cdx1a,hatching gland,3,Hatching Gland
cdx4-cdx1a,iridophore,3,Pigment
cdx4-cdx1a,motor neuron,3,Central Nervous System
cdx4-cdx1a,neural tube-like connective tissue (+ taste bud),3,Connective Tissue
cdx4-cdx1a,retinal neuron,3,Eye
cdx4-cdx1a,satellite cells,3,Muscle
cdx4-cdx1a,contains head vasculature?,2,Connective Tissue
cdx4-cdx1a,hypochord,2,Hypochord
cdx4-cdx1a,KA neuron,2,Central Nervous System
cdx4-cdx1a,"neuron (telencephalon, glutamatergic)",2,Central Nervous System
cdx4-cdx1a,posterior lateral line primordium,2,Lateral Line
cdx4-cdx1a,slow-committed myocyte,2,Muscle
cdx4-cdx1a,differentiating neuron 2,1,Central Nervous System
cdx4-cdx1a,head mesenchyme-PA cartilage,1,Pharyngeal Arch
cdx4-cdx1a,hypophysis-locus coeruleus,1,Central Nervous System
cdx4-cdx1a,neuron (+ spinal cord),1,Central Nervous System
cdx4-cdx1a,pancreas,1,Pancreas
cdx4-cdx1a,pronephric podocyte,1,Kidney
cdx4-cdx1a,red blood cell,1,Blood
cdx4-cdx1a,"roof plate, flexural + subcommissural organ",1,Central Nervous System
cdx4-cdx1a,support cells-otic vesicle,1,Ear
egr2b,periderm,382,Epidermis
egr2b,hatching gland,150,Hatching Gland
egr2b,neural progenitor (hindbrain),114,Central Nervous System
egr2b,basal cell,91,Connective Tissue
egr2b,basal cell,91,Epidermis
egr2b,fast-committed myocyte,83,Muscle
egr2b,mature fast muscle,76,Muscle
egr2b,connective tissue-meninges-dermal FB,57,Connective Tissue
egr2b,neural progenitor (hindbrain R7-8),43,Central Nervous System
egr2b,notochord,36,Notochord
egr2b,mature slow muscle,33,Muscle
egr2b,"eye, optic cup",27,Eye
egr2b,fin mesenchyme,27,Fin
egr2b,pharyngeal arch (NC-derived),26,Pharyngeal Arch
egr2b,endothelium (dorsal aorta),25,Endothelial
egr2b,neural progenitor (telencephalon-diencephalon),25,Central Nervous System
egr2b,"head mesenchyme (maybe ventral, hand2+)",24,Pharyngeal Arch
egr2b,neural progenitor (MHB),24,Central Nervous System
egr2b,"pharyngeal arch (contains muscle, early cartilage)",24,Pharyngeal Arch
egr2b,"neurons (differentiating, contains peripheral)",23,Central Nervous System
egr2b,head-eye connective tissue,21,Connective Tissue
egr2b,lens,21,Eye
egr2b,mesodermal progenitor cells (contains PSM),21,Paraxial Mesoderm
egr2b,endothelium (vein + early artery),20,Endothelial
egr2b,"neurons (gabaergic, glutamatergic)",20,Central Nervous System
egr2b,"neurons (gabaergic, glutamatergic; contains Purkinje)",19,Central Nervous System
egr2b,fin fold,18,Fin
egr2b,intestine,18,Intestine
egr2b,retinal pigmented epithelium (early),17,Eye
egr2b,cranial muscle (mid),15,Pharyngeal Arch
egr2b,head mesenchyme,14,Pharyngeal Arch
egr2b,melanophore,13,Epidermis
