timepoint,genotype,embryo,total_cells,cell_type,cells
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,cranial ganglion progenitor,20
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,epibranchial ganglion,7
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,lateral line ganglion,6
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,statoacoustic ganglion,7
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,trigeminal ganglion,4
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,rohon-beard neuron,0
36,cdx4,GAP16.36.36h_cdx4_P2_A6,44,unknown sensory ganglion,0
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,cranial ganglion progenitor,13
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,epibranchial ganglion,11
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,lateral line ganglion,9
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,statoacoustic ganglion,9
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,trigeminal ganglion,4
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,rohon-beard neuron,1
36,cdx4,GAP16.36.36h_cdx4_P2_B6,47,unknown sensory ganglion,0
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,cranial ganglion progenitor,16
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,epibranchial ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,lateral line ganglion,3
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,statoacoustic ganglion,6
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,trigeminal ganglion,3
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,rohon-beard neuron,2
36,cdx4,GAP16.36.36h_cdx4_P2_C6,35,unknown sensory ganglion,0
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,cranial ganglion progenitor,15
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,epibranchial ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,lateral line ganglion,8
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,statoacoustic ganglion,4
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,trigeminal ganglion,2
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,rohon-beard neuron,0
36,cdx4,GAP16.36.36h_cdx4_P2_D6,37,unknown sensory ganglion,3
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,cranial ganglion progenitor,14
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,epibranchial ganglion,7
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,lateral line ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,statoacoustic ganglion,7
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,trigeminal ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,rohon-beard neuron,1
36,cdx4,GAP16.36.36h_cdx4_P2_E6,40,unknown sensory ganglion,1
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,cranial ganglion progenitor,15
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,epibranchial ganglion,8
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,lateral line ganglion,1
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,statoacoustic ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,trigeminal ganglion,3
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,rohon-beard neuron,1
36,cdx4,GAP16.36.36h_cdx4_P2_F6,33,unknown sensory ganglion,0
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,cranial ganglion progenitor,16
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,epibranchial ganglion,12
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,lateral line ganglion,6
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,statoacoustic ganglion,8
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,trigeminal ganglion,0
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,rohon-beard neuron,1
36,cdx4,GAP16.36.36h_cdx4_P2_G6,44,unknown sensory ganglion,1
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,cranial ganglion progenitor,15
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,epibranchial ganglion,5
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,lateral line ganglion,4
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,statoacoustic ganglion,1
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,trigeminal ganglion,4
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,rohon-beard neuron,0
36,cdx4,GAP16.36.36h_cdx4_P2_H6,29,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,cranial ganglion progenitor,11
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,epibranchial ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,lateral line ganglion,4
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,statoacoustic ganglion,7
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,trigeminal ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,rohon-beard neuron,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_A7,35,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,cranial ganglion progenitor,16
