"geno.v.wt","cell_group","estimate","std.error","statistic","p.value","qval","emb_mean","abund_log2fc","timepoint"
"foxd3","unknown sensory ganglion",0.369972627755901,0.29850543506698,1.2394167217521,0.215191211960692,0.485010960783606,2,0,"36"
"foxd3","cranial ganglion progenitor",0.28357726093772,0.179162564582217,1.58279304384252,0.113468642731039,0.403863486344143,10,0,"36"
"foxd3","lateral line ganglion",0.00803758172965505,0.244448258734425,0.0328805031022426,0.973769880658918,0.973769880658918,3,0,"36"
"foxd3","epibranchial ganglion",-0.032930491692846,0.278214844831487,-0.118363532013512,0.905779619847477,0.939327013175162,3,0,"36"
"foxd3","trigeminal ganglion",-0.147973059736523,0.219217153800995,-0.675006755497121,0.499671472953836,0.736357960142495,5,-0.485426827170242,"36"
"foxd3","statoacoustic ganglion",-0.328959907195231,0.281463685366587,-1.16874724626299,0.242505480391803,0.485010960783606,4,-0.584962500721156,"36"
"foxd3","rohon-beard neuron",-0.614669392695703,0.413450153658776,-1.48668318842371,0.137098504913419,0.403863486344143,2,-0.584962500721156,"36"
"phox2a","cranial ganglion progenitor",0.655867367059412,0.17290629333553,3.7931954610043,0.000148720997770269,0.00416418793756753,10,0.347923303420307,"36"
"phox2a","lateral line ganglion",0.0992378130973553,0.236657851627947,0.419330321874841,0.674974739309702,0.871332634138743,3,0,"36"
"phox2a","unknown sensory ganglion",-0.0455427273971859,0.339068283915113,-0.134317273415604,0.893151694799347,0.939327013175162,2,0,"36"
"phox2a","statoacoustic ganglion",-0.17976602456506,0.265055074265185,-0.678221403847588,0.497631323470273,0.736357960142495,4,-0.263034405833794,"36"
"phox2a","trigeminal ganglion",-0.268275044797086,0.223607564490886,-1.19975835973126,0.230233200391076,0.485010960783606,5,-0.485426827170242,"36"
"phox2a","epibranchial ganglion",-0.768868371199676,0.359883902429144,-2.13643446125256,0.0326440176564697,0.15581860450249,3,-1,"36"
"phox2a","rohon-beard neuron",-1.26080574313,0.537128095468849,-2.34730924292736,0.0189095530912254,0.132366871638578,2,-1.58496250072116,"36"
"tfap2a","cranial ganglion progenitor",0.462390927027637,0.15734040497359,2.93879329410172,0.00329492742471182,0.0461289839459655,10,0,"36"
"tfap2a","rohon-beard neuron",0.10381744245403,0.280428816735093,0.370209608494341,0.711226317871544,0.871332634138743,2,0,"36"
"tfap2a","trigeminal ganglion",0.0522677273035475,0.185374031781678,0.281958194474107,0.777975566195307,0.871332634138743,5,-0.222392421336448,"36"
"tfap2a","statoacoustic ganglion",-0.11165566989455,0.23233991142388,-0.48057033856248,0.630821900738811,0.871332634138743,4,-0.584962500721156,"36"
"tfap2a","unknown sensory ganglion",-0.534746058865621,0.366215940828262,-1.46019328829924,0.144236959408622,0.403863486344143,2,-0.584962500721156,"36"
"tfap2a","epibranchial ganglion",-0.655973754456254,0.308350238897313,-2.1273658058514,0.0333897009648192,0.15581860450249,3,-1,"36"
"tfap2a","lateral line ganglion",-0.667469553695725,0.263539050861247,-2.53271593532128,0.011318263349408,0.105637124594475,3,-1,"36"
"tfap2a-foxd3","cranial ganglion progenitor",0.273393815693873,0.187133047087371,1.46095956833443,0.144026537499191,0.403863486344143,10,0,"36"
"tfap2a-foxd3","statoacoustic ganglion",0.181912334243518,0.25266382341158,0.719977762495856,0.471538687355471,0.736357960142495,4,0,"36"
"tfap2a-foxd3","unknown sensory ganglion",0.0990445015315341,0.340840112126472,0.290589335021644,0.771365417688053,0.871332634138743,2,0,"36"
"tfap2a-foxd3","lateral line ganglion",-0.0941041455242254,0.272357445303779,-0.345517066439159,0.729705682218464,0.871332634138743,3,0,"36"
"tfap2a-foxd3","trigeminal ganglion",-0.176652351021525,0.230834480146895,-0.765277141045438,0.444106532872603,0.736357960142495,5,-0.485426827170242,"36"
"tfap2a-foxd3","rohon-beard neuron",-0.351365762461726,0.388584075484011,-0.904220694129253,0.365878389142868,0.682972993066686,2,-0.584962500721156,"36"
"tfap2a-foxd3","epibranchial ganglion",-0.401727187174841,0.331499641275933,-1.21184802984584,0.225570558960696,0.485010960783606,3,-0.415037499278844,"36"
"foxd3","unknown sensory ganglion",1.13767434776405,0.325862684302912,3.49126918351444,0.000480731642124526,0.00341372029056438,2,0.415037499278844,"48"
"foxd3","lateral line ganglion",0.223543965406545,0.256992751087088,0.869845411829505,0.384384890601621,0.630007840576973,5,-0.222392421336448,"48"
"foxd3","cranial ganglion progenitor",0.152010840312681,0.243310708255893,0.624760173534201,0.5321284732638,0.716326790932039,7,-0.415037499278844,"48"
"foxd3","epibranchial ganglion",-0.0436314475055332,0.248518017618091,-0.175566536075399,0.860634494277924,0.885947273521393,6,-0.459431618637297,"48"
"foxd3","rohon-beard neuron",-0.309476692398509,0.611309890895342,-0.506251734198576,0.612679941301975,0.756486225666498,1,-1,"48"
"foxd3","trigeminal ganglion",-0.339364032048192,0.380449574382476,-0.892007916158215,0.372388689358508,0.630007840576973,3,-0.736965594166206,"48"
"foxd3","statoacoustic ganglion",-0.822053981969669,0.375085676825264,-2.19164322382971,0.0284052783147326,0.124273092626955,6,-1.32192809488736,"48"
"foxi1","cranial ganglion progenitor",1.09029065377784,0.259893070235341,4.19515092414948,2.72689953211642e-05,0.000477207418120374,7,-0.415037499278844,"48"
"foxi1","unknown sensory ganglion",0.689770796612074,0.45213374500679,1.52559016934627,0.127111961906269,0.261701098042318,2,-0.584962500721156,"48"
"foxi1","rohon-beard neuron",0.457780986112704,0.590650568545641,0.775045366061187,0.43831285312839,0.639206244145568,1,0,"48"
"foxi1","trigeminal ganglion",0.137830837053013,0.401515088784844,0.343276855348446,0.731390190883895,0.853288556031211,3,-0.736965594166206,"48"
"foxi1","lateral line ganglion",-0.171763680825779,0.353254771593231,-0.486231735953911,0.626802872695098,0.756486225666498,5,-1.22239242133645,"48"
"foxi1","epibranchial ganglion",-0.633715399482941,0.350627706422377,-1.80737399776259,0.0707039853828288,0.178988900742598,6,-1.87446911791614,"48"
"foxi1","statoacoustic ganglion",-1.61094417180342,0.590540039130109,-2.72791693206174,0.00637356558586416,0.0371791325842076,6,-2.32192809488736,"48"
"phox2a","cranial ganglion progenitor",0.942528394896126,0.201455717292851,4.67858846381609,2.8885654184628e-06,0.000101099789646198,7,0.700439718141092,"48"
"phox2a","lateral line ganglion",0.485392573283664,0.229373138453726,2.1161700823202,0.0343303447220354,0.133506896141249,5,0.362570079384708,"48"
"phox2a","rohon-beard neuron",-0.0972519232233862,0.517692041575223,-0.187856709033946,0.850988979656686,0.885947273521393,1,0,"48"
"phox2a","unknown sensory ganglion",-0.11841987052617,0.434486938528823,-0.272551048202141,0.785198345493236,0.871192792096857,2,-0.584962500721156,"48"
"phox2a","statoacoustic ganglion",-0.212453173113594,0.305940434525299,-0.69442659138286,0.487414722393193,0.68238061135047,6,-0.514573172829758,"48"
"phox2a","trigeminal ganglion",-0.364141836762462,0.359176653676837,-1.01382379125925,0.310666840750182,0.596193638070573,3,-0.736965594166206,"48"
"phox2a","epibranchial ganglion",-1.29383637502821,0.326504727049036,-3.96268803432635,7.41105956461019e-05,0.000864623615871189,6,-1.13750352374994,"48"
"tfap2a","statoacoustic ganglion",0.525671846680074,0.276407643758574,1.9017992394567,0.0571974057634027,0.178988900742598,6,0,"48"
"tfap2a","cranial ganglion progenitor",0.197789350763483,0.234854841054571,0.842177022518878,0.399688873307284,0.630007840576973,7,-0.192645077942396,"48"
